gvkey,conm,tic,sic,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001097,ACMAT CORP  -CL A,ACMTA,6351,N,01,LC,10664,47,10/1/1994,9/1/1995
001097,ACMAT CORP  -CL A,ACMTA,6351,P,01,LC,10664,47,12/14/1972,9/30/1994
001098,ACME-CLEVELAND CORP,AMT.1,3661,C,01,LC,10057,20020,1/1/1968,7/2/1996
001099,ACME ELECTRIC CORP,ACEE,3612,P,01,LC,63837,156,12/14/1972,11/30/2000
001100,ACME GENERAL CORP,ACME.,3420,P,01,LC,10672,46,12/14/1972,6/28/1985
001101,ACME-HAMILTON MFG CORP,1438B,3060,P,01,LU,28679,23562,1/31/1973,1/31/1978
001103,ACME PRECISION PRODUCTS INC,5848B,3559,C,01,LU,28695,23564,1/31/1966,7/13/1988
001104,ACME UNITED CORP,ACU,3420,P,01,LU,60038,370,12/14/1972,E
001106,ACRO ENERGY CORP,ACRQE,3433,C,01,LU,10699,5193,1/28/1982,10/31/1986
001108,PRINCETON HOLDINGS INC,PRHD,5020,C,01,LC,51510,20021,11/11/1970,10/18/1996
001109,ALUF HOLDINGS INC,AHIXD,3944,C,01,LC,85084,7338,9/22/1986,4/24/2009
001109,ALUF HOLDINGS INC,AHIXD,3944,C,01,LC,85084,7338,12/12/1984,12/26/1985
001111,ACTIVISION INC,ATVI.1,7372,C,02,LC,10701,6060,5/31/1985,3/28/1991
001111,ACTIVISION INC,ATVI.1,7372,C,02,LC,79678,12499,10/22/1993,7/9/2008
001111,ACTIVISION INC,ATVI.1,7372,C,00X,LC,10701,6060,6/9/1983,5/30/1985
001112,ACTMEDIA INC,ACTM.,7310,P,01,LU,10720,6611,11/22/1983,7/31/1989
001113,ACTON CORP  -OLD,ATN.1,4841,C,01,LC,43967,20022,11/22/1966,4/29/1988
001114,ACUSHNET CO,ACSH,3060,P,01,LC,10728,53,12/14/1972,5/28/1976
001115,ADAC LABORATORIES,ADAC.,3844,P,01,LU,10752,58,12/5/1979,12/29/2000
001117,BK TECHNOLOGIES CORP,BKTI,3663,P,02,LC,10779,65,10/14/2005,E
001117,BK TECHNOLOGIES CORP,BKTI,3663,P,02,LC,10779,65,10/3/1978,5/7/2003
001118,ADAMS DRUG INC,ADG.1,5912,P,01,LU,57306,25563,12/20/1972,11/30/1984
001119,ADAMS DIVERSIFIED EQUITY FD,ADX,6726,C,00X,LU,10065,20023,1/1/1982,1/28/1982
001119,ADAMS DIVERSIFIED EQUITY FD,ADX,6726,P,01,LU,10065,20023,1/29/1982,E
001120,ADAMS-MILLIS CORP,ALL.2,2250,C,00X,LU,17224,22757,1/1/1950,1/30/1962
001120,ADAMS-MILLIS CORP,ALL.2,2250,P,01,LU,17224,22757,1/31/1962,10/31/1988
001121,ADAMS RESOURCES & ENERGY INC,AE,5172,P,01,LU,61487,59,2/7/1975,E
001122,ADAMS RUSSELL,AAR.1,4841,P,01,LC,47650,24955,2/5/1969,12/31/1987
001123,ADCOR ELECTRONICS INC,ADCR,3679,C,01,LU,85105,7521,4/29/1985,12/19/1986
001124,ADDISON-WESLEY PUB  -CL B,ADSNB,2731,P,01,LU,10787,73,12/14/1972,3/24/1988
001125,ADDITIVE TECHNOLOGY CORP,4304B,6794,P,01,LU,10795,7002,4/26/1984,8/30/1985
001126,ADDMASTER CORP,ADDC,3578,C,01,LU,10808,62,1/31/1978,6/19/1990
001126,ADDMASTER CORP,ADDC,3578,C,00X,LU,10808,62,6/1/1973,1/30/1978
001128,ADIA SERVICES INC,ADIA.,7363,P,01,LU,85113,7245,10/2/1984,1/31/1995
001129,ADVANCED FUEL SYSTEMS INC,AFSI.1,3714,P,01,LU,10816,5232,12/10/1981,8/31/1983
001130,ADVANCED LOGIC SYSTEMS INC,5710B,3572,C,01,LU,10824,7087,6/15/1984,6/10/1987
001131,ADLEY CORP,ADLY,4210,P,01,LU,10832,22229,12/14/1972,7/31/1973
001133,ADMIRAL CORP,ADL.1,3651,P,01,LU,22488,23147,1/31/1962,4/30/1974
001133,ADMIRAL CORP,ADL.1,3651,C,00X,LU,22488,23147,1/1/1950,1/30/1962
001134,ADOBE BUILDING CENTERS INC,ADBEA,5030,C,00X,LC,10859,60,1/1/1973,1/30/1978
001134,ADOBE BUILDING CENTERS INC,ADBEA,5030,P,01,LC,10859,60,1/31/1978,10/3/1978
001135,ADOBE OIL & GAS CORP,AOI.1,1311,P,01,LU,57461,25571,11/26/1973,11/29/1985
001137,ADVANCE CIRCUITS INC,ADVC.,3672,P,01,LU,10867,76,12/5/1980,10/31/1995
001138,ADVANCE ROSS CORP,AROS.,6099,P,01,LU,10875,347,12/14/1972,1/31/1996
001139,ADVANCED CHEMICAL TECHNOLOGY,ACTC.,3412,C,00X,LU,10891,54,2/1/1973,1/30/1978
001139,ADVANCED CHEMICAL TECHNOLOGY,ACTC.,3412,P,01,LU,10891,54,1/31/1978,8/31/1981
001140,ADVANCED COMMUNICATIONS INC,5022B,3661,C,01,LU,10904,6815,1/26/1984,10/27/1986
001141,ADVANCED COMPUTER TECHNIQUES,AVCD,7373,C,01,LU,10912,55,1/31/1978,7/3/1991
001141,ADVANCED COMPUTER TECHNIQUES,AVCD,7373,C,00X,LU,10912,55,4/1/1973,1/30/1978
001142,ADVANCED ENERGY CORP,5119B,4953,P,01,LU,46624,2454,1/29/1982,9/30/1986
001143,ADVANCED ENERGY RESOURCES,3AVEG,1381,P,01,LU,78523,27331,5/10/1984,3/29/1985
001145,ADVANCED SYSTEMS INC,ASY.2,7812,P,01,LU,65840,78,7/31/1980,12/31/1987
001145,ADVANCED SYSTEMS INC,ASY.2,7812,C,00X,LU,65840,78,11/1/1976,7/30/1980
001146,ADVENT CORP,ADVNQ.,3651,P,01,LU,10971,77,12/14/1972,4/14/1981
001147,ADVERTISING UNLIMITED INC,AUNL,2750,P,01,LU,10990,410,1/31/1979,10/23/1987
001148,ADVEST GROUP INC,ADV.2,6211,P,01,LU,64514,420,11/21/1980,2/28/2001
001150,AEGIS CORP,AO.1,3730,P,01,LU,28716,23566,4/29/1966,11/30/1984
001151,AEQUITRON MEDICAL INC,AQTN,3842,P,01,LU,10998,6943,3/22/1984,12/31/1996
001153,AERO-FLOW DYNAMICS INC,AER.2,5084,P,01,LU,28724,23567,7/2/1962,1/31/1983
001154,AERO SYSTEMS ENGINEERING INC,AERS.,8711,P,01,LU,85164,7538,5/10/1985,12/23/2003
001155,AERO SYSTEMS INC,AESM,5080,C,01,LU,11010,87,6/30/1975,7/30/1993
001156,AERODEX INC,AOX.1,3724,P,01,LU,46973,24915,10/17/1968,6/30/1975
001157,AEROJET GENERAL CORP,AJT,3721,P,01,LU,28732,23568,7/2/1962,10/31/1972
001159,AERONCA INC,ARN.2,3728,P,01,LU,28740,23569,1/31/1966,9/5/1986
001161,ADVANCED MICRO DEVICES,AMD,3674,P,01,LU,61241,211,12/14/1972,E
001162,ADVENTURE LANDS OF AMERICA,ADLA,7990,P,01,LU,11026,68,10/6/1978,11/29/1985
001163,ADVANCED MONITORING SYS INC,3ADNME,1389,C,01,LU,11034,245,1/29/1982,3/21/1988
001164,MCI INC,MCIP,4813,P,10,LC,90284,45424,7/14/2004,1/6/2006
001164,MCI INC,MCIP,4813,P,01,LC,11042,61,8/22/1986,7/29/2002
001164,MCI INC,MCIP,4813,P,01,LC,11042,61,11/24/1980,7/28/1986
001165,B-FAST CORP,BFTC,9995,C,01,LC,11069,85,4/14/1981,4/27/1988
001166,ASM INTERNATIONAL NV,ASMIY,3559,P,90,LC,11077,374,5/12/1981,8/20/2015
001167,ADVANT CORP,AVNT.1,5045,P,01,LU,11085,5260,1/4/1982,10/29/1982
001169,ADV GENETIC SCIENCES,AGSI.,2890,P,01,LC,11114,6414,9/22/1983,11/22/1988
001170,ADVANCED TELECOMMUN-OLD,ATEL.,4813,P,01,LC,11149,6737,1/31/1984,7/30/1985
001170,ADVANCED TELECOMMUN-OLD,ATEL.,4813,C,00X,LC,11149,6737,12/21/1983,1/30/1984
001171,ADVANCED TELECOMMUNICATIONS,ATEL.1,4813,P,01,LC,11149,6737,7/31/1985,12/4/1992
001172,ADV PROFESSIONAL SALES-OLD,APSI.1,5047,C,01,LC,15916,321,6/24/1983,9/29/1985
001172,ADV PROFESSIONAL SALES-OLD,APSI.1,5047,C,01,LC,15916,321,7/10/1986,12/31/1986
001173,AEROSONIC CORP,AIM.1,3812,C,00X,LU,11157,376,2/1/1973,2/27/1975
001173,AEROSONIC CORP,AIM.1,3812,C,01,LU,11157,376,2/28/1975,6/28/2013
001174,AEROTRON INC,AERO.1,3663,C,01,LC,11165,22254,12/14/1972,12/31/1979
001175,AEROVOX CORP,AVX.2,3670,P,01,LU,44396,24752,5/3/1967,5/31/1973
001177,AETNA INC,AET,6324,P,01,LC,46850,20026,9/24/1968,12/13/2000
001177,AETNA INC,AET,6324,P,01,LC,88845,41072,12/14/2000,11/30/2018
001178,AFFILIATED BANKSHARES COLO,AFBK.,6020,C,00X,LU,11173,94,1/1/1974,1/30/1974
001178,AFFILIATED BANKSHARES COLO,AFBK.,6020,P,01,LU,11173,94,1/31/1974,11/30/1992
001179,AFFILIATED CAPITAL CORP,AFD,6552,C,00X,LU,52310,25242,1/1/1974,1/30/1978
001179,AFFILIATED CAPITAL CORP,AFD,6552,P,01,LU,52310,25242,1/31/1978,1/29/1982
001180,AFFILIATED HOSPITAL PRODS,AFH.1,3060,P,01,LU,50569,25134,5/14/1970,2/21/1985
001181,AFFILIATED PUBNS,AFP.1,2711,P,01,LC,57349,25566,8/9/1973,5/31/1989
001181,AFFILIATED PUBNS,AFP.1,2711,P,01,LC,75618,22086,6/8/1989,10/1/1993
001182,AFTER SIX INC,TUX.1,2300,P,01,LU,57613,25577,12/14/1972,9/28/1984
001183,IDNA INC,IDAI.,4899,P,01,LC,11181,6059,6/8/1983,3/9/1998
001184,AGGIE OIL CO,AGGY.1,1381,P,01,LC,11200,114,9/11/1981,1/26/1984
001186,AGNICO EAGLE MINES LTD,AEM,1040,P,01,LC,78223,26174,11/1/1982,E
001188,AGOIL INC-OLD,AGOLC,1381,P,01,LU,11229,10132,4/6/1981,5/31/1983
001192,AGUIRRE CO,AGG.2,6500,C,00X,LU,17232,22758,8/1/1949,1/30/1962
001192,AGUIRRE CO,AGG.2,6500,P,01,LU,17232,22758,1/31/1962,12/8/1978
001194,AHMANSON (H F) & CO,AHM.1,6035,P,01,LU,56266,20028,12/14/1972,10/30/1998
001195,AID AUTO STORES INC  -OLD,AASS,5013,C,00X,LU,11253,9,1/1/1974,1/30/1978
001195,AID AUTO STORES INC  -OLD,AASS,5013,P,01,LU,11253,9,1/31/1978,6/28/1985
001196,AIKEN INDUSTRIES INC,AKN.1,3812,P,01,LU,44820,24779,1/31/1968,9/30/1976
001197,AILEEN INC,AEENQ,2253,C,01,LU,39116,20029,4/23/1963,7/14/1995
001199,AGRICULTURAL & INDL DEV INC,AIDI,0200,C,01,LU,11280,135,5/11/1979,8/11/1980
001200,AIR CALIFORNIA,AIAO,4512,P,01,LC,11288,31,12/14/1972,5/31/1973
001201,AIR CARGO EQUIPMENT CORP,ARCE.1,3537,P,01,LU,11296,330,1/31/1979,12/30/1988
001202,AIR CHAPARRAL INC,ACHPQ,4512,P,01,LC,11309,39,7/9/1981,8/24/1983
001203,AIR EXPRESS INTERNATIONAL CP,AEIC,4731,C,01,LU,61081,143,1/31/1973,2/29/2000
001204,AIR FLORIDA SYSTEM INC,AIRQC,4512,C,00X,LU,11317,144,8/1/1973,1/30/1979
001204,AIR FLORIDA SYSTEM INC,AIRQC,4512,C,01,LU,11317,144,1/31/1979,8/16/1984
001206,AIR INDS CORP,AIRI.1,3452,P,01,LC,11325,22268,12/14/1972,12/31/1973
001208,AIR MIDWEST INC,AMWI.,4512,P,01,LU,11341,5678,11/5/1982,7/31/1991
001209,AIR PRODUCTS & CHEMICALS INC,APD,2810,P,01,LC,28222,20030,1/31/1962,E
001210,AIR T INC,AIRT,4513,P,01,LC,11368,6977,4/23/1984,E
001211,AIR WEST INC,AWT.,4512,C,00X,LC,43756,24706,9/6/1966,12/31/1968
001212,AIR WISCONSIN SERVICES INC,ARWS,4512,P,01,LU,11376,359,1/31/1979,1/31/1992
001213,AIRBORNE INC,ABF,4513,P,01,LU,51721,20031,1/5/1971,8/15/2003
001214,ACI HOLDING INC,ACF.1,4512,P,01,LU,67125,6325,8/25/1983,4/30/1987
001215,AIRCO INC,AN.1,2810,P,01,LU,10102,22164,1/31/1962,4/28/1978
001215,AIRCO INC,AN.1,2810,C,00X,LU,10102,22164,1/1/1950,1/30/1962
001217,AIRLIFT INTERNATIONAL INC,ALFT,4512,C,01,LU,46244,161,6/30/1978,11/3/1980
001217,AIRLIFT INTERNATIONAL INC,ALFT,4512,C,00X,LU,46244,161,7/1/1973,6/29/1978
001218,AIRPAX ELECTRONICS INC,AXE.1,3679,P,01,LU,44775,24775,8/3/1967,4/30/1976
001219,AIRWICK INDUSTRIES INC,AWI.1,2840,P,01,LC,47378,24936,12/19/1968,5/31/1974
001220,AJAX MAGNETHERMIC CORP,AJX.1,3560,P,01,LC,41793,24562,4/7/1965,7/31/1975
001221,AKZONA,AXO.2,2820,P,01,LU,25662,23350,1/31/1962,8/31/1982
001222,ALA MOANA HAWAII PROPERTIES,ALA.2,6512,C,00X,LC,63415,25710,1/1/1982,1/28/1982
001222,ALA MOANA HAWAII PROPERTIES,ALA.2,6512,P,01,LC,63415,25710,1/29/1982,4/22/1988
001226,ALAMCO INC,AXO.1,1311,P,02,LU,64848,5335,3/24/1982,8/29/1997
001227,ALAMITO CO,ATO.3,4911,P,01,LU,67133,25779,1/7/1985,5/30/1986
001228,ALANCO TECHNOLOGIES INC,ALAN,4950,C,02,LC,11456,5348,5/14/1982,1/22/1986
001228,ALANCO TECHNOLOGIES INC,ALAN,4950,C,02,LC,11456,5348,4/23/1990,7/25/2011
001228,ALANCO TECHNOLOGIES INC,ALAN,4950,C,02,LC,11456,5348,8/23/1988,2/1/1990
001229,ALANTHUS CORP,ALTS.,7350,P,01,LU,11472,183,12/14/1972,7/31/1978
001230,ALASKA AIR GROUP INC,ALK,4512,P,01,LU,28804,20035,1/31/1966,E
001232,ALASKA INTL INDUSTRIES INC,ALKA,1600,P,01,LU,11520,167,11/5/1974,8/31/1979
001233,ALASKA NORTHWEST PROPERTIES,3ANWP,6512,C,01,LU,11536,285,5/30/1980,6/18/1987
001234,ATRION CORP,ATRI,3841,P,01,LU,11587,392,12/14/1972,E
001235,ALBA-WALDENSIAN INC,AWS.1,2250,P,01,LU,49584,20036,11/25/1969,12/31/1999
001236,ALBANY INTL CORP  -OLD,ABY.,2221,P,01,LU,57998,132,12/14/1972,7/29/1983
001238,ALBERTA ENERGY CO LTD,AOG.3,1311,P,01,LC,82233,27934,9/21/1995,4/5/2002
001239,ALBERTO-CULVER CO,ACV.1,2844,P,01,LC,42083,8127,6/11/1965,5/10/2011
001239,ALBERTO-CULVER CO,ACV.1,2844,J,02,LC,69163,8127,4/23/1986,11/5/2003
001240,ALBERTSON'S INC,ABS.1,5411,P,01,LU,50032,20038,2/10/1970,6/30/2006
001241,ALBION INTL RESOURCES INC,6584B,1311,P,01,LU,11608,7161,8/1/1984,6/30/1989
001242,ALBUQUERQUE WESTN SOLAR INDS,2873B,6799,P,01,LC,11616,186,1/31/1979,6/27/1980
001243,ALCAN INC,AL.1,3350,C,00X,LC,24264,20039,5/31/1950,1/30/1962
001243,ALCAN INC,AL.1,3350,P,01,LC,24264,20039,1/31/1962,11/14/2007
001244,ALCIDE CORP,ALCD.,2870,P,01,LC,11624,5686,5/26/1983,7/30/2004
001245,AMERISOURCE CORP,ABC1,5122,P,02,LC,85244,7691,8/15/1985,10/31/1989
001246,IKON OFFICE SOLUTIONS,IKN,5040,P,01,LU,48514,20040,6/16/1969,10/31/2008
001247,ALCOLAC INC,ALC.1,2890,P,01,LU,56282,25506,12/14/1972,3/31/1981
001248,ALCON LABORATORIES INC,ALB.1,2834,P,01,LU,53321,25311,10/4/1971,1/31/1978
001249,ALDEBARAN DRILLING CO INC,4306B,1381,P,01,LU,11659,154,9/8/1981,5/31/1985
001250,ALDEN ELECTRONICS INC,ADNE,3661,C,01,LC,85252,7371,1/7/1985,1/13/1997
001251,ALDON INDUSTRIES INC,2904B,2273,P,01,LU,48733,174,1/31/1978,2/27/1981
